time,run,tau,listed_by_hycom_org
1994-01-04 18:00:00,1994010412,6,True
1994-01-08 12:00:00,1994010812,0,True
1994-01-10 12:00:00,1994011012,0,True
1994-01-21 18:00:00,1994012112,6,True
1994-01-24 12:00:00,1994012412,0,True
1994-01-27 09:00:00,1994012612,21,True
1994-02-03 12:00:00,1994020312,0,True
1994-02-10 12:00:00,1994021012,0,True
1994-02-14 18:00:00,1994021412,6,True
1994-03-05 12:00:00,1994030512,0,True
1994-03-09 12:00:00,1994030912,0,True
1994-03-18 12:00:00,1994031812,0,True
1994-03-26 12:00:00,1994032612,0,True
1994-03-27 18:00:00,1994032712,6,True
1994-04-14 12:00:00,1994041412,0,True
1994-04-15 12:00:00,1994041512,0,True
1994-04-23 15:00:00,1994042312,3,True
1994-04-24 12:00:00,1994042412,0,True
1994-04-25 12:00:00,1994042512,0,True
1994-05-16 12:00:00,1994051612,0,True
1994-05-17 12:00:00,1994051712,0,True
1994-05-20 12:00:00,1994052012,0,True
1994-05-22 12:00:00,1994052212,0,True
1994-06-02 12:00:00,1994060212,0,True
1994-06-03 12:00:00,1994060312,0,True
1994-06-07 12:00:00,1994060712,0,True
1994-06-14 12:00:00,1994061412,0,True
1994-06-17 06:00:00,1994061612,18,True
1994-06-23 09:00:00,1994062212,21,True
1994-06-24 06:00:00,1994062312,18,True
1994-07-02 12:00:00,1994070212,0,True
1994-07-03 12:00:00,1994070312,0,True
1994-07-04 12:00:00,1994070412,0,True
1994-07-12 12:00:00,1994071212,0,True
1994-07-18 12:00:00,1994071812,0,True
1994-07-28 12:00:00,1994072812,0,True
1994-08-05 12:00:00,1994080512,0,True
1994-08-21 12:00:00,1994082112,0,True
1994-09-02 18:00:00,1994090212,6,True
1994-09-07 12:00:00,1994090712,0,True
1994-09-09 12:00:00,1994090912,0,True
1994-09-13 12:00:00,1994091312,0,True
1994-09-17 18:00:00,1994091712,6,True
1994-09-24 12:00:00,1994092412,0,True
1994-09-25 12:00:00,1994092512,0,True
1994-10-01 12:00:00,1994100112,0,True
1994-10-03 12:00:00,1994100312,0,True
1994-10-04 12:00:00,1994100412,0,True
1994-10-06 12:00:00,1994100612,0,True
1994-10-16 21:00:00,1994101612,9,True
1994-10-28 12:00:00,1994102812,0,True
1994-11-07 06:00:00,1994110612,18,True
1994-11-29 03:00:00,1994112812,15,True
1994-12-15 15:00:00,1994121512,3,True
1994-12-24 12:00:00,1994122412,0,True
1995-01-03 09:00:00,1995010212,21,True
1995-01-09 18:00:00,1995010912,6,True
1995-01-11 18:00:00,1995011112,6,True
1995-01-18 03:00:00,1995011712,15,True
1995-02-14 12:00:00,1995021412,0,True
1995-02-16 12:00:00,1995021612,0,True
1995-02-25 21:00:00,1995022512,9,True
1995-03-01 12:00:00,1995030112,0,True
1995-04-07 12:00:00,1995040712,0,True
1995-04-17 21:00:00,1995041712,9,True
1995-04-18 18:00:00,1995041812,6,True
1995-05-09 12:00:00,1995050912,0,True
1995-05-13 12:00:00,1995051312,0,True
1995-05-19 15:00:00,1995051912,3,True
1995-05-21 06:00:00,1995052012,18,True
1995-05-27 12:00:00,1995052712,0,True
1995-06-05 00:00:00,1995060412,12,True
1995-06-17 12:00:00,1995061712,0,True
1995-06-21 12:00:00,1995062112,0,True
1995-07-07 09:00:00,1995070612,21,True
1995-07-09 06:00:00,1995070812,18,True
1995-07-09 12:00:00,1995070912,0,True
1995-07-27 12:00:00,1995072712,0,True
1995-08-04 06:00:00,1995080312,18,True
1995-08-07 00:00:00,1995080612,12,True
1995-08-13 06:00:00,1995081212,18,True
1995-08-15 03:00:00,1995081412,15,True
1995-08-15 06:00:00,1995081412,18,True
1995-08-21 12:00:00,1995082112,0,True
1995-08-23 12:00:00,1995082312,0,True
1995-10-10 15:00:00,1995101012,3,True
1995-10-16 21:00:00,1995101612,9,True
1995-11-19 12:00:00,1995111912,0,True
1995-12-26 12:00:00,1995122612,0,True
1996-01-01 12:00:00,1996010112,0,True
1996-01-05 12:00:00,1996010512,0,True
1996-01-06 12:00:00,1996010612,0,True
1996-01-14 12:00:00,1996011412,0,True
1996-01-21 03:00:00,1996012012,15,True
1996-01-23 03:00:00,1996012212,15,True
1996-01-24 00:00:00,1996012312,12,True
1996-02-09 12:00:00,1996020912,0,True
1996-02-19 18:00:00,1996021912,6,True
1996-03-01 09:00:00,1996022912,21,True
1996-03-01 12:00:00,1996030112,0,True
1996-03-02 00:00:00,1996030112,12,True
1996-03-08 12:00:00,1996030812,0,True
1996-03-13 12:00:00,1996031312,0,True
1996-03-19 12:00:00,1996031912,0,True
1996-03-27 21:00:00,1996032712,9,True
1996-03-28 00:00:00,1996032712,12,True
1996-04-13 00:00:00,1996041212,12,True
1996-04-17 12:00:00,1996041712,0,True
1996-05-03 12:00:00,1996050312,0,True
1996-05-06 12:00:00,1996050612,0,True
1996-05-15 06:00:00,1996051412,18,True
1996-05-16 00:00:00,1996051512,12,True
1996-05-23 12:00:00,1996052312,0,True
1996-05-24 03:00:00,1996052312,15,True
1996-05-29 00:00:00,1996052812,12,True
1996-06-01 12:00:00,1996060112,0,True
1996-06-02 12:00:00,1996060212,0,True
1996-06-03 12:00:00,1996060312,0,True
1996-06-25 18:00:00,1996062512,6,True
1996-06-29 12:00:00,1996062912,0,True
1996-07-30 09:00:00,1996072912,21,True
1996-08-02 12:00:00,1996080212,0,True
1996-08-04 18:00:00,1996080412,6,True
1996-08-05 12:00:00,1996080512,0,True
1996-09-15 12:00:00,1996091512,0,True
1996-09-18 09:00:00,1996091712,21,True
1996-09-18 12:00:00,1996091812,0,True
1996-09-19 12:00:00,1996091912,0,True
1996-09-21 09:00:00,1996092012,21,True
1996-09-24 12:00:00,1996092412,0,True
1996-09-25 12:00:00,1996092512,0,True
1996-10-15 12:00:00,1996101512,0,True
1996-10-18 12:00:00,1996101812,0,True
1996-11-01 12:00:00,1996110112,0,True
1996-11-29 12:00:00,1996112912,0,True
1996-12-09 12:00:00,1996120912,0,True
1996-12-28 15:00:00,1996122812,3,True
1997-01-14 09:00:00,1997011312,21,True
1997-02-02 15:00:00,1997020212,3,True
1997-02-09 12:00:00,1997020912,0,True
1997-02-16 12:00:00,1997021612,0,True
1997-02-20 12:00:00,1997022012,0,True
1997-03-14 21:00:00,1997031412,9,True
1997-03-23 21:00:00,1997032312,9,True
1997-03-26 09:00:00,1997032512,21,True
1997-04-16 00:00:00,1997041512,12,True
1997-04-16 03:00:00,1997041512,15,True
1997-05-07 09:00:00,1997050612,21,True
1997-05-07 12:00:00,1997050712,0,True
1997-05-14 03:00:00,1997051312,15,True
1997-05-14 12:00:00,1997051412,0,True
1997-05-14 15:00:00,1997051412,3,True
1997-05-16 03:00:00,1997051512,15,True
1997-05-21 03:00:00,1997052012,15,True
1997-05-25 21:00:00,1997052512,9,True
1997-06-17 15:00:00,1997061712,3,True
1997-06-30 12:00:00,1997063012,0,True
1997-07-17 12:00:00,1997071712,0,True
1997-08-11 06:00:00,1997081012,18,True
1997-08-11 09:00:00,1997081012,21,True
1997-08-13 12:00:00,1997081312,0,True
1997-08-16 12:00:00,1997081612,0,True
1997-09-08 21:00:00,1997090812,9,True
1997-09-15 12:00:00,1997091512,0,True
1997-09-20 12:00:00,1997092012,0,True
1997-10-09 12:00:00,1997100912,0,True
1997-10-25 12:00:00,1997102512,0,True
1997-10-30 15:00:00,1997103012,3,True
1997-10-31 03:00:00,1997103012,15,True
1997-11-16 12:00:00,1997111612,0,True
1997-11-19 12:00:00,1997111912,0,True
1997-11-22 18:00:00,1997112212,6,True
1997-11-28 12:00:00,1997112812,0,True
1997-12-12 15:00:00,1997121212,3,True
1998-01-07 12:00:00,1998010712,0,True
1998-01-07 15:00:00,1998010712,3,True
1998-01-07 18:00:00,1998010712,6,True
1998-01-07 21:00:00,1998010712,9,True
1998-01-08 00:00:00,1998010712,12,True
1998-01-08 03:00:00,1998010712,15,True
1998-01-08 06:00:00,1998010712,18,True
1998-01-08 09:00:00,1998010712,21,True
1998-01-14 12:00:00,1998011412,0,True
1998-02-04 18:00:00,1998020412,6,True
1998-02-04 21:00:00,1998020412,9,True
1998-02-12 12:00:00,1998021212,0,True
1998-02-19 06:00:00,1998021812,18,True
1998-02-19 18:00:00,1998021912,6,True
1998-02-21 00:00:00,1998022012,12,True
1998-03-07 21:00:00,1998030712,9,True
1998-03-10 06:00:00,1998030912,18,True
1998-03-11 15:00:00,1998031112,3,True
1998-03-18 12:00:00,1998031812,0,True
1998-03-21 03:00:00,1998032012,15,True
1998-03-26 09:00:00,1998032512,21,True
1998-04-02 09:00:00,1998040112,21,True
1998-04-06 00:00:00,1998040512,12,True
1998-04-09 09:00:00,1998040812,21,True
1998-04-29 12:00:00,1998042912,0,True
1998-05-05 12:00:00,1998050512,0,True
1998-05-18 12:00:00,1998051812,0,True
1998-05-19 09:00:00,1998051812,21,True
1998-05-28 12:00:00,1998052812,0,True
1998-06-02 12:00:00,1998060212,0,True
1998-06-02 18:00:00,1998060212,6,True
1998-06-08 12:00:00,1998060812,0,True
1998-06-18 09:00:00,1998061712,21,True
1998-06-30 03:00:00,1998062912,15,True
1998-07-05 12:00:00,1998070512,0,True
1998-07-16 06:00:00,1998071512,18,True
1998-07-17 09:00:00,1998071612,21,True
1998-07-18 12:00:00,1998071812,0,True
1998-07-25 09:00:00,1998072412,21,True
1998-07-30 12:00:00,1998073012,0,True
1998-08-01 12:00:00,1998080112,0,True
1998-08-06 12:00:00,1998080612,0,True
1998-08-26 12:00:00,1998082612,0,True
1998-08-27 12:00:00,1998082712,0,True
1998-09-04 09:00:00,1998090312,21,True
1998-09-11 12:00:00,1998091112,0,True
1998-09-26 12:00:00,1998092612,0,True
1998-09-29 12:00:00,1998092912,0,True
1998-10-11 12:00:00,1998101112,0,True
1998-10-25 12:00:00,1998102512,0,True
1998-10-30 12:00:00,1998103012,0,True
1998-11-06 12:00:00,1998110612,0,True
1998-11-14 03:00:00,1998111312,15,True
1998-11-22 12:00:00,1998112212,0,True
1998-12-03 18:00:00,1998120312,6,True
1998-12-06 12:00:00,1998120612,0,True
1998-12-11 12:00:00,1998121112,0,True
1999-01-11 18:00:00,1999011112,6,True
1999-01-29 12:00:00,1999012912,0,True
1999-02-09 12:00:00,1999020912,0,True
1999-03-07 12:00:00,1999030712,0,True
1999-03-14 12:00:00,1999031412,0,True
1999-04-04 12:00:00,1999040412,0,True
1999-04-11 12:00:00,1999041112,0,True
1999-04-12 12:00:00,1999041212,0,True
1999-04-18 12:00:00,1999041812,0,True
1999-04-19 12:00:00,1999041912,0,True
1999-04-27 12:00:00,1999042712,0,True
1999-05-01 09:00:00,1999043012,21,True
1999-05-13 00:00:00,1999051212,12,True
1999-05-14 18:00:00,1999051412,6,True
1999-06-01 12:00:00,1999060112,0,True
1999-06-08 18:00:00,1999060812,6,True
1999-06-10 12:00:00,1999061012,0,True
1999-06-22 09:00:00,1999062112,21,True
1999-07-24 12:00:00,1999072412,0,True
1999-07-25 12:00:00,1999072512,0,True
1999-08-09 12:00:00,1999080912,0,True
1999-09-02 03:00:00,1999090112,15,True
1999-10-04 03:00:00,1999100312,15,True
1999-11-09 12:00:00,1999110912,0,True
1999-11-27 03:00:00,1999112612,15,True
1999-12-07 12:00:00,1999120712,0,True
2000-01-05 12:00:00,2000010512,0,True
2000-01-17 12:00:00,2000011712,0,True
2000-01-19 18:00:00,2000011912,6,True
2000-01-19 21:00:00,2000011912,9,True
2000-01-24 06:00:00,2000012312,18,True
2000-01-24 12:00:00,2000012412,0,True
2000-01-25 12:00:00,2000012512,0,True
2000-01-31 12:00:00,2000013112,0,True
2000-01-31 15:00:00,2000013112,3,True
2000-01-31 18:00:00,2000013112,6,True
2000-01-31 21:00:00,2000013112,9,True
2000-02-01 00:00:00,2000013112,12,True
